feature,importance
n__payment_total,0.3841580759692537
n__delivery_days,0.31422309221423644
n__freight_total,0.31404437620481396
n__items_price_total,0.19976382392092623
n__max_installments,0.1482100529933905
c__customer_state_SC,0.10938411223174105
c__customer_state_MG,0.10505884209634542
n__purchase_month,0.10074511465748595
c__customer_state_PR,0.08465116018494154
n__n_items,0.061539980151847515
c__payment_type_primary_credit_card,0.042601990417994826
c__customer_state_RS,0.03777492142251494
c__customer_state_RJ,0.02007915220097251
c__payment_type_primary_boleto,0.017757408410178466
n__is_late,0.016525032894186376
c__customer_state_DF,0.016305978235823994
c__customer_state_SP,0.014196891309674773
c__customer_state_infrequent_sklearn,0.013559619651201997
c__customer_state_BA,0.013441871148127322
c__payment_type_primary_infrequent_sklearn,0.013222042673047805
c__payment_type_primary_voucher,0.00905978731660645
c__customer_state_GO,0.008367310818323705
c__customer_state_ES,0.004178005391177574
