group1,group2,meandiff,p-adj,lower,upper,reject
auto,baby,-0.0309,0.9998,-0.1405,0.0788,False
auto,bed_bath_table,-0.1457,0.0,-0.2302,-0.0612,True
auto,computers_accessories,-0.0705,0.3198,-0.16,0.0189,False
auto,cool_stuff,0.0782,0.3772,-0.0243,0.1807,False
auto,electronics,-0.023,1.0,-0.1358,0.0898,False
auto,furniture_decor,-0.0751,0.2349,-0.1655,0.0152,False
auto,garden_tools,0.0425,0.988,-0.0609,0.1458,False
auto,health_beauty,0.0802,0.092,-0.0051,0.1655,False
auto,housewares,0.0523,0.8374,-0.0395,0.1441,False
auto,perfumery,0.1144,0.021,0.0081,0.2206,True
auto,sports_leisure,0.0822,0.0904,-0.0051,0.1695,False
auto,telephony,-0.0933,0.0881,-0.1922,0.0055,False
auto,toys,0.0876,0.1728,-0.013,0.1882,False
auto,watches_gifts,-0.0294,0.9992,-0.1219,0.0631,False
baby,bed_bath_table,-0.1148,0.0039,-0.2101,-0.0196,True
baby,computers_accessories,-0.0397,0.9911,-0.1393,0.0599,False
baby,cool_stuff,0.1091,0.0625,-0.0024,0.2206,False
baby,electronics,0.0079,1.0,-0.1132,0.1289,False
baby,furniture_decor,-0.0443,0.977,-0.1447,0.0561,False
baby,garden_tools,0.0733,0.6535,-0.0389,0.1856,False
baby,health_beauty,0.1111,0.0075,0.0152,0.207,True
baby,housewares,0.0832,0.2619,-0.0186,0.1849,False
baby,perfumery,0.1452,0.0017,0.0303,0.2602,True
baby,sports_leisure,0.1131,0.0075,0.0154,0.2107,True
baby,telephony,-0.0625,0.8217,-0.1706,0.0456,False
baby,toys,0.1185,0.0203,0.0087,0.2282,True
baby,watches_gifts,0.0015,1.0,-0.1009,0.1039,False
bed_bath_table,computers_accessories,0.0752,0.0258,0.0042,0.1461,True
bed_bath_table,cool_stuff,0.2239,0.0,0.1371,0.3108,True
bed_bath_table,electronics,0.1227,0.0024,0.0239,0.2216,True
bed_bath_table,furniture_decor,0.0706,0.0626,-0.0015,0.1427,False
bed_bath_table,garden_tools,0.1882,0.0,0.1003,0.2761,True
bed_bath_table,health_beauty,0.2259,0.0,0.1602,0.2916,True
